01CCV,01,C,CV,178.4323118931,-72.5361076467,32701
01CDH,01,C,DH,177.3564407645,-83.3026329741,32701
01CDJ,01,C,DJ,177.8740933775,-82.4101929564,32701
01CDK,01,C,DK,-178.1841886791,-81.5398304968,32701
01CDL,01,C,DL,-178.2159342085,-80.6440257547,32701
01CDM,01,C,DM,-178.2418233148,-79.748140066,32701
01CDN,01,C,DN,-178.26332287,-78.8527156627,32701
01CDP,01,C,DP,-178.2814777813,-77.9566798047,32701
01CDQ,01,C,DQ,-178.2969998145,-77.0605704785,32701
01CDR,01,C,DR,-178.3104122046,-76.1649247328,32701
01CDS,01,C,DS,-178.3221279356,-75.2686660241,32701
01CDT,01,C,DT,-178.3324413788,-74.372330065,32701
01CDU,01,C,DU,-178.341582572,-73.4764523861,32701
01CDV,01,C,DV,-178.3497477832,-72.5802452963,32701
01CEH,01,C,EH,-172.460247902,-83.3106796856,32701
01CEJ,01,C,EJ,-173.0260837193,-82.4184402864,32701
01CEK,01,C,EK,-173.4661440367,-81.5259619125,32701
01CEL,01,C,EL,-173.8183175577,-80.6323681605,32701
01CEM,01,C,EM,-174.1062381102,-79.7383239504,32701
01CEN,01,C,EN,-174.3457869641,-78.844454631,32701
01CEP,01,C,EP,-174.5483591448,-77.9497495276,32701
01CEQ,01,C,EQ,-174.7217481484,-77.0547899236,32701
01CER,01,C,ER,-174.8717056568,-76.16014562,32701
01CES,01,C,ES,-175.0027888858,-75.2647667921,32701
01CET,01,C,ET,-175.1182514394,-74.3692084014,32701
01CEU,01,C,EU,-175.2206411953,-73.4740213142,32701
01CEV,01,C,EV,-175.3121373541,-72.5781409795,32701
01CFV,01,C,FV,-172.326942171,-72.5320781393,32701
01DCA,01,D,CA,178.5809410195,-71.640656141,32701
01DCB,01,D,CB,178.7151543542,-70.7455770667,32701
01DCC,01,D,CC,178.8370534,-69.8498029002,32701
01DCD,01,D,CD,178.9481601674,-68.9538763552,32701
01DCE,01,D,CE,179.0497571273,-68.0583392921,32701
01DCF,01,D,CF,179.1430934366,-67.1621199216,32701
01DCG,01,D,CG,179.229060679,-66.2657582159,32701
01DCH,01,D,CH,179.3084274824,-65.3697938314,32701
01DCJ,01,D,CJ,179.3819873919,-64.473152465,32701
01DDA,01,D,DA,-178.3208128332,-71.6841099242,32701
01DDB,01,D,DB,-178.2598002504,-70.78837872,32701
01DDC,01,D,DC,-178.2044205445,-69.8919792404,32701
01DDD,01,D,DD,-178.1539714892,-68.9954509851,32701
01DDE,01,D,DE,-178.1078625393,-68.0993329997,32701
01DDF,01,D,DF,-178.065520465,-67.2025500363,32701
01DDG,01,D,DG,-178.0265359091,-66.3056400006,32701
01DDH,01,D,DH,-177.9905564485,-65.4091407401,32701
01DDJ,01,D,DJ,-177.9572192912,-64.511975439,32701
01DEA,01,D,EA,-175.3943205256,-71.6821122246,32701
01DEB,01,D,EB,-175.4684803611,-70.7864782748,32701
01DEC,01,D,EC,-175.535794952,-69.8901680109,32701
01DED,01,D,ED,-175.5971174194,-68.9937218798,32701
01DEE,01,D,EE,-175.6531652527,-68.0976797312,32701
01DEF,01,D,EF,-175.7046349834,-67.2009671265,32701
01DEG,01,D,EG,-175.7520240129,-66.304122537,32701
01DEH,01,D,EH,-175.7957605827,-65.4076843005,32701
01DEJ,01,D,EJ,-175.8362855771,-64.5105761283,32701
01DFA,01,D,FA,-172.5496692429,-71.6384115798,32701
01DFB,01,D,FB,-172.7510724541,-70.7449294328,32701
01DFC,01,D,FC,-172.9342283384,-69.8505906299,32701
01DFD,01,D,FD,-173.1013625654,-68.9559571515,32701
01DFE,01,D,FE,-173.2543547489,-68.0615870908,32701
01DFF,01,D,FF,-173.3950458646,-67.1664242512,32701
