01K,DS,-177.483373,-21.250303
01K,ES,-176.516627,-21.250303
01K,FS,-175.552975,-21.244860
01K,GS,-174.589789,-21.233917
01K,HS,-174.059304,-21.225864
01K,BT,-179.395848,-20.331158
01K,CT,-178.438369,-20.341592
01K,DT,-177.480436,-20.346781
01K,ET,-176.519564,-20.346781
01K,FT,-175.561631,-20.341592
01K,GT,-174.604152,-20.331158
01K,HT,-174.067643,-20.323326
01K,BU,-179.382240,-19.428296
01K,CU,-178.430167,-19.438227
01K,DU,-177.477651,-19.443165
01K,EU,-176.522349,-19.443165
01K,FU,-175.569833,-19.438227
01K,GU,-174.617759,-19.428296
01K,HU,-174.075537,-19.420701
01K,BV,-179.369369,-18.525335
01K,CV,-178.422407,-18.534769
01K,DV,-177.475014,-18.539458
01K,EV,-176.524986,-18.539458
01K,FV,-175.577593,-18.534769
01K,GV,-174.630631,-18.525335
01K,HV,-174.082996,-18.517993
01K,BA,-179.357214,-17.622280
01K,CA,-178.415079,-17.631222
01K,DA,-177.472524,-17.635665
01K,EA,-176.527476,-17.635665
01K,FA,-175.584920,-17.631222
01K,GA,-174.642786,-17.622280
01K,HA,-174.090031,-17.615203
01K,BB,-179.345760,-16.719135
01K,CB,-178.408173,-16.727588
01K,DB,-177.470174,-16.731788
01K,EB,-176.529826,-16.731788
01K,FB,-175.591827,-16.727588
01K,GB,-174.654240,-16.719135
01K,HB,-174.096651,-16.712337
01K,BC,-179.337860,-16.136278
01K,CC,-178.403100,-16.139382
01K,DC,-177.467963,-16.140417
01K,EC,-176.532037,-16.140417
01K,FC,-175.596900,-16.139382
01K,GC,-174.662140,-16.136278
01K,HC,-174.098498,-16.131110
01L,BC,-179.333145,-15.679626
01L,CC,-178.400399,-15.684492
01L,DC,-177.467309,-15.687415
01L,EC,-176.532691,-15.687415
01L,FC,-175.599601,-15.684492
01L,GC,-174.666855,-15.679626
01L,HC,-174.102867,-15.678288
01L,BD,-179.324893,-14.912590
01L,CD,-178.395588,-14.920081
01L,DD,-177.465888,-14.923799
01L,ED,-176.534112,-14.923799
01L,FD,-175.604412,-14.920081
01L,GD,-174.675107,-14.912590
01L,HD,-174.108685,-14.906388
01L,BE,-179.315451,-14.009199
01L,CE,-178.389891,-14.016215
01L,DE,-177.463945,-14.019695
01L,EE,-176.536055,-14.019695
01L,FE,-175.610109,-14.016215
01L,GE,-174.684549,-14.009199
01L,HE,-174.114114,-14.003312
01L,BF,-179.306653,-13.105736
01L,CF,-178.384582,-13.112279
01L,DF,-177.462132,-13.115523
01L,EF,-176.537868,-13.115523
01L,FF,-175.615417,-13.112279
01L,GF,-174.693347,-13.105736
01L,HF,-174.119161,-13.100174
01L,BG,-179.298488,-12.202203
01L,CG,-178.379654,-12.208278
01L,DG,-177.460447,-12.211287
01L,EG,-176.539553,-12.211287
01L,FG,-175.620345,-12.208278
01L,GG,-174.701512,-12.202203
01L,HG,-174.123833,-12.196978
01L,BH,-179.290945,-11.298607
01L,CH,-178.375100,-11.304215
01L,DH,-177.458887,-11.306992
01L,EH,-176.541114,-11.306992
01L,FH,-175.624900,-11.304215
01L,GH,-174.709054,-11.298607
01L,HH,-174.128135,-11.293726
01L,BJ,-179.284014,-10.394951
01L,CJ,-178.370914,-10.400096
01L,DJ,-177.457450,-10.402642
01L,EJ,-176.542550,-10.402642
01L,FJ,-175.629086,-10.400096
01L,GJ,-174.715986,-10.394951
01L,HJ,-174.132074,-10.390423
01L,BK,-179.277687,-9.491240
01L,CK,-178.367090,-9.495925
01L,DK,-177.456135,-9.498240
01L,EK,-176.543865,-9.498240
01L,FK,-175.632910,-9.495925
01L,GK,-174.722313,-9.491240
01L,HK,-174.135654,-9.487073
01L,BL,-179.271955,-8.587478
01L,CL,-178.363624,-8.591705
01L,DL,-177.454940,-8.593791
01L,EL,-176.545060,-8.593791
01L,FL,-175.636376,-8.591705
01L,GL,-174.728045,-8.587478
01L,HL,-174.138879,-8.583680
01L,BM,-179.268422,-8.068988
01L,CM,-178.361314,-8.070510
01L,DM,-177.453863,-8.071017
01L,EM,-176.546137,-8.071017
01L,FM,-175.638686,-8.070510
01L,GM,-174.731578,-8.068988
01L,HM,-174.139323,-8.066454
01M,BM,-179.266366,-7.614683
01M,CM,-178.360204,-7.616932
01M,DM,-177.453706,-7.618282
01M,EM,-176.546295,-7.618282
01M,FM,-175.639796,-7.616932
01M,GM,-174.733634,-7.614683
01M,HM,-174.141754,-7.613794
01M,BN,-179.262248,-6.779823
01M,CN,-178.357748,-6.783139
01M,DN,-177.452903,-6.784770
01M,EN,-176.547097,-6.784770
01M,FN,-175.642251,-6.783139
01M,GN,-174.737751,-6.779823
01M,HN,-174.144282,-6.776780
01M,BP,-179.258262,-5.875939
01M,CP,-178.355331,-5.878802
